Dataset,RF_RMSE,RF_R2,XGB_RMSE,XGB_R2,SVR_RMSE,SVR_R2
Label_MinMax,0.0348543446106653,0.9550581041670256,0.03458998268489036,0.9557372659335793,0.04889981528543208,0.9115389715093348
Label_Standard,0.2127951511445745,0.9550423474173532,0.21028146576117918,0.9560982165995437,0.2206019096216301,0.9516831395657284
OneHot_Standard,0.21119976154150136,0.9557139426038328,0.2252703191111452,0.949616524753736,,
LOO_MinMax,0.002884967268603857,0.9996920931664124,0.009021464931756998,0.9969891322652705,0.04454125048165115,0.926605695690112
